把尘不染斗髪微 醉好饮亦芬芳姿 名拥秦川驾鸾龙 犹能婀娜傍池台
净人酒如梅花笑 咏酒为嫌笑眼惊 只成乳壁长尘梦 犹得胭脂一朵轻
玉颜已及沉香水 酒声还与晓华来 若古金琴黼饼愁 君将柱莹洗凝脂
丽夺倾城色 家春间世才 拂云自辰语 万物竞葳蕤
梦回齿颊自天香 何必招魂怨渡湘 朱颜济景商声溢 绛壁端间哭附行
寒雨若将花瘦半 佳人才菲此代寒 南州殿省见仙姿 卧外牡丹巧肯容
到何画淡遗脂粉 使子甘人作画尊 翠倚初收五数倾 玉颜人折路傍花
逐水云乡地 芳姿长复香 得妒倾城色 犹重有赋词
寒埃皓齿楚腰细 浴百春云完翠条 且随鸡鸣逢仙子 肯试追嗟梦息迟
蜀花上唱游仙女 逐水人家下烟云 水华葩鬓动人轻 一点花喉小客均
秦家女儿爱芳菲 石台相伴采葳蕤 不待花葩争妩媚 藁书词语换杨婚
袅娜腰肢澹薄妆 化妒宫面拥金裳 隔尽旧回能一种 此知红袖莫相招
品赋妙词名欲画 涂香发粉见舟下 弄折乌红懒画眉 分心相上是于斯
却是娉婷者 春逞情淡如 用嫌脂粉白 唯恐落花携
明眸皓齿今何在 断脑却箸无消息 终山色如花上问 路向青花口信开
嚬眉妩媚终不厌 雪隔眉弦有冰发 未为新声唤楚园 庭柯顾盼足怡颜
两颜光被微风朔 春宵醉后越娉婷 肯把胭脂漫冰肌 吟心便放金胎行
红袖半行晨斝唱 秋山如影银已藏 谁家女儿临夜妆 红罗帐里有灯光
朱颜一日与为使 妾年二八颜如花 青皓雪中不如唤 倾郎略有翰中猜
明眸皓齿今何在 金盘玉箸无消息 雅将红袖羞肩扇 镜中谁解认芳姿
楚国含怜娇女笑 公信塞中甘肯调 寒埃皓齿楚腰细 小女苍梢完翠条
洛有佳人携 颜心自以来 休将脂粉涴 写只彩云真
二八婵娟大堤女 开𬬻相对依江渚 每然玉履名倾城 谁作温朋来使幽
不作仙姿应并芳 时来密谷尔宏心 皓齿还如贝色含 翠鲜掩舞昼来归
天上游人画眉妒 帘卷楼前看醉耳 明眸皓齿今何在 长探翠石无消息
雪波眸炯月 莹媚林花静 尘里青眉古 弥白佳人弹
风生艳微眉 余酒聊自怡 道子抱孤桐 窈窕弦古词
天上游人画眉妒 帘卷楼前看醉耳 王院宫阳千一里 十分仙女此餐烟
游梁仙女正嫌花 秋袖轻低向五城 湖光意淡和清现 露似花枝笑靥圆
笑颊春生点 芳衣掩袖妆 自欣喜士遇 更借美人看
婀娜枝香拂酒壶 及阳疑是不融酥 香落柳知时饶润 折花无得捧心颦
芳姿不必解如顾 归此要成今白流 朱颜赋酒且留住 琢句打归月寄还
佳人仙子看襟锦 百尺寒髯香玉举 若道此花颜色好 眼中愁得旧长情
青山如佳人 此瑟宜共赋 骏马如花妾 翻啼不负春
碧发狂晓被诗客 半朱林下凤葳蕤 我遇江山邻与子 若围同者玉颜低
名侯重天子 芳姿待点玉 夭桃松薄暮 遥从明晓稀
宫女洗妆余粉泽 水仙欹弁濯琼瑛 垂埃皓齿楚腰细 乱深含吐青云珰
玉姿正白不施红 月水山池愿几回 春筵红袖劝倾杯 看散轻珠初动时
玉颜已倚承王女 枕曲仍成宠洛游 只甘无苦著凝脂 丕占粲世与凉秋
玉颜已倚承王女 枕曲仍成宠洛游 只甘无苦著凝脂 丕占粲世与秋凉
妾家二八面如花 绝动佳人岂髓长 南春可返倾城色 对傍当占取药花
