['月', 'm', 24590]
['春', 'tg', 23430]
['人', 'n', 17888]
['花', 'v', 14473]
['风', 'n', 13761]
['心', 'n', 13679]
['梦', 'n', 12674]
['诗', 'n', 11760]
['香', 'ns', 10784]
['水', 'n', 9346]
['云', 'ns', 9036]
['山', 'n', 8637]
['春风', 'n', 8080]
['天', 'q', 8072]
['情', 'n', 7327]
['雨', 'n', 7255]
['难', 'a', 7239]
['醉', 'v', 6996]
['新', 'a', 6704]
['柳', 'n', 6533]
['酒', 'n', 6241]
['秋', 't', 5878]
['梅', 'nr', 5776]
['书', 'n', 5315]
['雪', 'n', 4923]
['生', 'vn', 4633]
['红', 'a', 4625]
['客', 'n', 4489]
['明月', 't', 4239]
['联', 'v', 4220]
['闲', 'n', 4060]
['清', 't', 3962]
['绿', 'a', 3924]
['成', 'n', 3883]
['高', 'a', 3621]
['日', 'm', 3614]
['歌', 'n', 3590]
['空', 'n', 3414]
['乐', 'a', 3383]
['远', 'a', 3364]
['笔', 'n', 3321]
['喜', 'v', 3155]
['飞', 'n', 3152]
['思', 'n', 3149]
['玉', 'nr', 3082]
['韵', 'n', 2827]
['龙', 'n', 2804]
['竹', 'ng', 2790]
['清风', 'n', 2746]
['留', 'v', 2729]
['道', 'q', 2725]
['行', 'zg', 2673]
['墨', 'nr', 2540]
['落', 'v', 2511]
['画', 'n', 2492]
['愁', 'v', 2472]
['意', 'n', 2362]
['小', 'a', 2356]
['马', 'n', 2354]
['德', 'ns', 2350]
['笑', 'v', 2276]
['千秋', 'nr', 2258]
['福', 'ns', 2253]
['爱', 'v', 2249]
['文', 'n', 2207]
['家', 'q', 2205]
['青山', 'ns', 2191]
['古', 'a', 2186]
['舞', 'v', 2165]
['金', 'nr', 2112]
['海', 'n', 2101]
['年', 'm', 2038]
['句', 'q', 2007]
['身', 'ng', 2005]
['树', 'v', 1994]
['寒', 'n', 1968]
['路', 'n', 1968]
['君', 'nz', 1962]
['燕', 'nr', 1958]
['万里', 'm', 1932]
['秀', 'ag', 1916]
['观', 'vg', 1868]
['美', 'ns', 1847]
['少', 'a', 1823]
['犹', 'd', 1803]
['须', 'd', 1781]
['明', 'a', 1778]
['名', 'q', 1768]
['影', 'vn', 1768]
['寻', 'zg', 1738]
['添', 'v', 1707]
['静', 'nr', 1703]
['子', 'ng', 1703]
['非', 'h', 1683]
['曲', 'q', 1644]
['重', 'a', 1617]
['兴', 'v', 1590]
['声', 'n', 1583]
['深', 'a', 1553]
['文章', 'n', 1550]
['岁月', 't', 1543]
['流', 'n', 1539]
['求', 'v', 1513]
['字', 'n', 1508]
['总', 'b', 1506]
['吟', 'v', 1468]
['翠', 'nr', 1447]
['青', 'ns', 1438]
['轻', 'a', 1438]
['日月', 't', 1436]
['志', 'n', 1425]
['气', 'n', 1396]
['窗', 's', 1395]
['惊', 'v', 1393]
['世', 'n', 1392]
['藏', 'j', 1384]
['万', 'm', 1369]
['怀', 'v', 1347]
['国', 'n', 1344]
['松', 'v', 1337]
['闻', 'v', 1336]
['迎', 'v', 1335]
['梅花', 'nr', 1301]
['夜', 't', 1293]
['景', 'ng', 1282]
['人生', 'n', 1277]
['苦', 'a', 1253]
['堪', 'zg', 1251]
['舟', 'ns', 1233]
['石', 'n', 1233]
['问', 'n', 1226]
['言', 'vg', 1219]
['先', 'd', 1191]
['鸟', 'zg', 1189]
['伴', 'v', 1180]
['江', 'nr', 1179]
['争', 'v', 1175]
['天下', 's', 1157]
['浪', 'n', 1150]
['烟', 'n', 1150]
['雁', 'nr', 1148]
['门', 'n', 1135]
['展', 'v', 1134]
['月色', 'n', 1132]
['淡', 'a', 1132]
['民', 'ng', 1116]
['外', 'f', 1110]
['通', 'v', 1103]
['前', 'f', 1097]
['暖', 'a', 1086]
['桃花', 'n', 1083]
['流水', 'n', 1061]
['碧', 'nr', 1050]
['岁', 'm', 1047]
['欢', 'v', 1037]
['草', 'n', 1019]
['品', 'v', 1002]
['扬', 'vg', 999]
['佛', 'n', 996]
['春色', 'n', 995]
['星', 'n', 983]
['善', 'v', 975]
['学', 'n', 970]
['风流', 'n', 970]
['相思', 'v', 964]
['鹤', 'ns', 960]
['天地', 'n', 956]
